GIORNO_RIFERIMENTO;C1_A1;C1_B1;C1_C1;C1_D1;C1_E1;C1_F1;C1_A2;C1_B2;C1_C2;C1_D2;C1_E2;C1_F2;C1_A3;C1_B3;C1_C3;C1_D3;C1_E3;C1_F3;C2;C4;T1_1;T1_2;T1_3
15/10/2018;0.00000001;0.00000001;0.00000001;0.00000001;0.19609872;0.22263138;0.00000001;0.00000001;0.00000001;0.00000001;0.23655599;0.27093788;0.00000001;0.00000001;0.00000001;0.00000001;0.28365092;0.32494145;0.26200172;0.00000001;0.24441402;0.29401604;0.3532844
16/10/2018;0.00000001;0.00000001;0.00000001;0.00000001;0.19609872;0.22263138;0.00000001;0.00000001;0.00000001;0.00000001;0.23655599;0.27093788;0.00000001;0.00000001;0.00000001;0.00000001;0.28365092;0.32494145;0.26200172;0.00000001;0.24441402;0.29401604;0.3532844
17/10/2018;0.00000001;0.00000001;0.00000001;0.00000001;0.19609872;0.22263138;0.00000001;0.00000001;0.00000001;0.00000001;0.23655599;0.27093788;0.00000001;0.00000001;0.00000001;0.00000001;0.28365092;0.32494145;0.26200172;0.00000001;0.24441402;0.29401604;0.3532844
18/10/2018;0.00000001;0.00000001;0.00000001;0.00000001;0.19609872;0.22263138;0.00000001;0.00000001;0.00000001;0.00000001;0.23655599;0.27093788;0.00000001;0.00000001;0.00000001;0.00000001;0.28365092;0.32494145;0.26200172;0.00000001;0.24441402;0.29401604;0.3532844
19/10/2018;0.00000001;0.00000001;0.00000001;0.00000001;0.19609872;0.22263138;0.00000001;0.00000001;0.00000001;0.00000001;0.23655599;0.27093788;0.00000001;0.00000001;0.00000001;0.00000001;0.28365092;0.32494145;0.26200172;0.00000001;0.24441402;0.29401604;0.3532844
20/10/2018;0.00000001;0.00000001;0.00000001;0.00000001;0.19609872;0.22263138;0.00000001;0.00000001;0.00000001;0.00000001;0.23655599;0.27093788;0.00000001;0.00000001;0.00000001;0.00000001;0.00000001;0.00000001;0.26200172;0.00000001;0.24441402;0.29401604;0.00000001
21/10/2018;0.00000001;0.00000001;0.00000001;0.00000001;0.19609872;0.22263138;0.00000001;0.00000001;0.00000001;0.00000001;0.00000001;0.00000001;0.00000001;0.00000001;0.00000001;0.00000001;0.00000001;0.00000001;0.26200172;0.00000001;0.24441402;0.00000001;0.00000001
22/10/2018;0.00000001;0.00000001;0.00000001;0.00000001;0.27633251;0.29844639;0.00000001;0.00000001;0.00000001;0.00000001;0.33334286;0.36320321;0.00000001;0.00000001;0.00000001;0.00000001;0.39970669;0.43559718;0.26200172;0.00000001;0.24441402;0.29401604;0.3532844
23/10/2018;0.00000001;0.00000001;0.00000001;0.00000001;0.27633251;0.29844639;0.00000001;0.00000001;0.00000001;0.00000001;0.33334286;0.36320321;0.00000001;0.00000001;0.00000001;0.00000001;0.39970669;0.43559718;0.26200172;0.00000001;0.24441402;0.29401604;0.3532844
24/10/2018;0.00000001;0.00000001;0.00000001;0.00000001;0.27633251;0.29844639;0.00000001;0.00000001;0.00000001;0.00000001;0.33334286;0.36320321;0.00000001;0.00000001;0.00000001;0.00000001;0.39970669;0.43559718;0.26200172;0.00000001;0.24441402;0.29401604;0.3532844
25/10/2018;0.00000001;0.00000001;0.00000001;0.00000001;0.27633251;0.29844639;0.00000001;0.00000001;0.00000001;0.00000001;0.33334286;0.36320321;0.00000001;0.00000001;0.00000001;0.00000001;0.39970669;0.43559718;0.26200172;0.00000001;0.24441402;0.29401604;0.3532844
